_id,quarter,industry1,industry2,industry3,employment_change
1923,2008-Q1,services,professional services,"legal, accounting and management services",2.7
1924,2008-Q1,services,professional services,architectural and engineering services,2.1
1925,2008-Q1,services,professional services,other professional services,1.3
1926,2008-Q1,services,"community, social and personal services",public administration and education,4.5
1927,2008-Q1,services,"community, social and personal services",education,1.2
1928,2008-Q1,services,"community, social and personal services",public administration,3.2
1929,2008-Q1,services,"community, social and personal services",health and social services,1.6
1930,2008-Q1,services,"community, social and personal services","other community, social and personal services",8.7
1931,2008-Q1,others,others,others,0.5
1932,2008-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.1
1933,2008-Q2,manufacturing,textile and wearing apparel,paper products and printing,0.2
1934,2008-Q2,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",4.3
1935,2008-Q2,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,-0.3
1936,2008-Q2,manufacturing,fabricated metal products,fabricated metal products,0.4
1937,2008-Q2,manufacturing,machinery and equipment,machinery and equipment,-
1938,2008-Q2,manufacturing,electrical products,electrical products,0.2
1939,2008-Q2,manufacturing,electronic products,electronic products,-1.5
1940,2008-Q2,manufacturing,medical and precision instruments,medical and precision instruments,0.6
1941,2008-Q2,manufacturing,transport equipment,transport equipment,5.4
1942,2008-Q2,manufacturing,other manufacturing industries,other manufacturing industries,0.8
1943,2008-Q2,construction,construction,construction,22.4
1944,2008-Q2,services,wholesale and retail trade,wholesale trade,3.5
1945,2008-Q2,services,wholesale and retail trade,retail trade,1.2
1946,2008-Q2,services,transport and storage,land transport and supporting services,1.4
1947,2008-Q2,services,transport and storage,water transport and supporting services,1.1
1948,2008-Q2,services,transport and storage,air transport and supporting services,0.6
1949,2008-Q2,services,transport and storage,other transport and storage services,1.6
1950,2008-Q2,services,hotels and restaurants,hotels,-0.4
1951,2008-Q2,services,hotels and restaurants,restaurants,3.2
1952,2008-Q2,services,information and communications,broadcasting and publishing,-0.6
1953,2008-Q2,services,information and communications,telecommunications,0.4
1954,2008-Q2,services,information and communications,it and other information services,1.7
1955,2008-Q2,services,financial services,financial institutions,4.3
1956,2008-Q2,services,financial services,insurance,0.3
1957,2008-Q2,services,real estate and leasing services,real estate and leasing services,1.9
1958,2008-Q2,services,professional services,"legal, accounting and management services",2
1959,2008-Q2,services,professional services,architectural and engineering services,2
1960,2008-Q2,services,professional services,other professional services,1.7
1961,2008-Q2,services,"community, social and personal services",public administration and education,-0.3
1962,2008-Q2,services,"community, social and personal services",education,1.1
1963,2008-Q2,services,"community, social and personal services",public administration,-1.4
1964,2008-Q2,services,"community, social and personal services",health and social services,2
1965,2008-Q2,services,"community, social and personal services","other community, social and personal services",5.4
1966,2008-Q2,others,others,others,0.5
1967,2008-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.4
1968,2008-Q3,manufacturing,textile and wearing apparel,paper products and printing,0.4
1969,2008-Q3,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",2
1970,2008-Q3,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,-0.4
1971,2008-Q3,manufacturing,fabricated metal products,fabricated metal products,1.4
1972,2008-Q3,manufacturing,machinery and equipment,machinery and equipment,-1.2
1973,2008-Q3,manufacturing,electrical products,electrical products,0.4
1974,2008-Q3,manufacturing,electronic products,electronic products,-1.4
1975,2008-Q3,manufacturing,medical and precision instruments,medical and precision instruments,-
1976,2008-Q3,manufacturing,transport equipment,transport equipment,2.2
1977,2008-Q3,manufacturing,other manufacturing industries,other manufacturing industries,0.7
1978,2008-Q3,construction,construction,construction,16.5
1979,2008-Q3,services,wholesale and retail trade,wholesale trade,2.3
1980,2008-Q3,services,wholesale and retail trade,retail trade,1
1981,2008-Q3,services,transport and storage,land transport and supporting services,1.8
1982,2008-Q3,services,transport and storage,water transport and supporting services,1
1983,2008-Q3,services,transport and storage,air transport and supporting services,0.2
1984,2008-Q3,services,transport and storage,other transport and storage services,0.7
1985,2008-Q3,services,hotels and restaurants,hotels,0.4
1986,2008-Q3,services,hotels and restaurants,restaurants,3.8
1987,2008-Q3,services,information and communications,broadcasting and publishing,0.4
1988,2008-Q3,services,information and communications,telecommunications,0.3
1989,2008-Q3,services,information and communications,it and other information services,1.2
1990,2008-Q3,services,financial services,financial institutions,3.3
1991,2008-Q3,services,financial services,insurance,0.1
1992,2008-Q3,services,real estate and leasing services,real estate and leasing services,1.3
1993,2008-Q3,services,professional services,"legal, accounting and management services",1.6
1994,2008-Q3,services,professional services,architectural and engineering services,1.5
1995,2008-Q3,services,professional services,other professional services,1.7
1996,2008-Q3,services,"community, social and personal services",public administration and education,1.7
1997,2008-Q3,services,"community, social and personal services",education,1.4
1998,2008-Q3,services,"community, social and personal services",public administration,0.3
1999,2008-Q3,services,"community, social and personal services",health and social services,1.7
2000,2008-Q3,services,"community, social and personal services","other community, social and personal services",5.8
2001,2008-Q3,others,others,others,0.4
2002,2008-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.3
2003,2008-Q4,manufacturing,textile and wearing apparel,paper products and printing,-0.4
2004,2008-Q4,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",1.6
2005,2008-Q4,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,-0.6
2006,2008-Q4,manufacturing,fabricated metal products,fabricated metal products,-0.9
2007,2008-Q4,manufacturing,machinery and equipment,machinery and equipment,-1
2008,2008-Q4,manufacturing,electrical products,electrical products,-
2009,2008-Q4,manufacturing,electronic products,electronic products,-3.4
2010,2008-Q4,manufacturing,medical and precision instruments,medical and precision instruments,0.2
2011,2008-Q4,manufacturing,transport equipment,transport equipment,-2.7
2012,2008-Q4,manufacturing,other manufacturing industries,other manufacturing industries,-0.2
2013,2008-Q4,construction,construction,construction,10.7
2014,2008-Q4,services,wholesale and retail trade,wholesale trade,0.4
2015,2008-Q4,services,wholesale and retail trade,retail trade,3.6
2016,2008-Q4,services,transport and storage,land transport and supporting services,-
2017,2008-Q4,services,transport and storage,water transport and supporting services,-0.2
2018,2008-Q4,services,transport and storage,air transport and supporting services,-0.1
2019,2008-Q4,services,transport and storage,other transport and storage services,-0.1
2020,2008-Q4,services,hotels and restaurants,hotels,0.6
2021,2008-Q4,services,hotels and restaurants,restaurants,5.8
2022,2008-Q4,services,information and communications,broadcasting and publishing,-
2023,2008-Q4,services,information and communications,telecommunications,-
2024,2008-Q4,services,information and communications,it and other information services,0.6
2025,2008-Q4,services,financial services,financial institutions,0.1
2026,2008-Q4,services,financial services,insurance,0.2
2027,2008-Q4,services,real estate and leasing services,real estate and leasing services,1
2028,2008-Q4,services,professional services,"legal, accounting and management services",0.5
2029,2008-Q4,services,professional services,architectural and engineering services,1.2
2030,2008-Q4,services,professional services,other professional services,-0.2
2031,2008-Q4,services,"community, social and personal services",public administration and education,0.8
2032,2008-Q4,services,"community, social and personal services",education,0.8
2033,2008-Q4,services,"community, social and personal services",public administration,-
2034,2008-Q4,services,"community, social and personal services",health and social services,1.3
2035,2008-Q4,services,"community, social and personal services","other community, social and personal services",3
2036,2008-Q4,others,others,others,0.2
2037,2009-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.3
2038,2009-Q1,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-2
2039,2009-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",3
2040,2009-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-5.1
2041,2009-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-8
2042,2009-Q1,manufacturing,transport equipment,transport equipment,-9.5
2043,2009-Q1,manufacturing,other manufacturing industries,other manufacturing industries,-1.2
2044,2009-Q1,construction,construction,construction,8.2
2045,2009-Q1,services,wholesale and retail trade,wholesale trade,0.1
2046,2009-Q1,services,wholesale and retail trade,retail trade,-0.7
2047,2009-Q1,services,transportation and storage,land transport and supporting services,0.3
2048,2009-Q1,services,transportation and storage,water transport and supporting services,-0.3
2049,2009-Q1,services,transportation and storage,air transport and supporting services,-
2050,2009-Q1,services,transportation and storage,other transportation and storage services,-1.6
2051,2009-Q1,services,accommodation and food services,accommodation,-2.5
2052,2009-Q1,services,accommodation and food services,food and beverage services,-0.2
2053,2009-Q1,services,information and communications,"telecommunications, broadcasting and publishing",-
2054,2009-Q1,services,information and communications,it and other information services,0.7
2055,2009-Q1,services,financial and insurance services,financial services,-1.5
2056,2009-Q1,services,financial and insurance services,insurance services,0.3
2057,2009-Q1,services,real estate services,real estate services,0.9
2058,2009-Q1,services,professional services,"legal, accounting and management services",0.1
2059,2009-Q1,services,professional services,architectural and engineering services,0.3
2060,2009-Q1,services,professional services,other professional services,-0.1
2061,2009-Q1,services,administrative and support services,security and investigation,1.3
2062,2009-Q1,services,administrative and support services,cleaning and landscaping,1.5
2063,2009-Q1,services,administrative and support services,other administrative and support services,-1
2064,2009-Q1,services,"community, social and personal services",public administration and education,6.4
2065,2009-Q1,services,"community, social and personal services",public administration,4.2
2066,2009-Q1,services,"community, social and personal services",education,2.2
2067,2009-Q1,services,"community, social and personal services",health and social services,1.2
2068,2009-Q1,services,"community, social and personal services","arts, entertainment and recreation",0.2
2069,2009-Q1,services,"community, social and personal services","other community, social and personal services",2.9
2070,2009-Q1,others,others,others,-0.2
2071,2009-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.2
2072,2009-Q2,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-1.4
2073,2009-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",1.7
2074,2009-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-3.5
2075,2009-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-4
2076,2009-Q2,manufacturing,transport equipment,transport equipment,-8.5
2077,2009-Q2,manufacturing,other manufacturing industries,other manufacturing industries,-0.7
2078,2009-Q2,construction,construction,construction,4.1
2079,2009-Q2,services,wholesale and retail trade,wholesale trade,-1.2
2080,2009-Q2,services,wholesale and retail trade,retail trade,-0.4
2081,2009-Q2,services,transportation and storage,land transport and supporting services,-0.3
2082,2009-Q2,services,transportation and storage,water transport and supporting services,-0.2
2083,2009-Q2,services,transportation and storage,air transport and supporting services,-0.9
2084,2009-Q2,services,transportation and storage,other transportation and storage services,-0.4
2085,2009-Q2,services,accommodation and food services,accommodation,-0.7
2086,2009-Q2,services,accommodation and food services,food and beverage services,-0.9
2087,2009-Q2,services,information and communications,"telecommunications, broadcasting and publishing",0.1
2088,2009-Q2,services,information and communications,it and other information services,0.3
2089,2009-Q2,services,financial and insurance services,financial services,-0.6
2090,2009-Q2,services,financial and insurance services,insurance services,0.2
2091,2009-Q2,services,real estate services,real estate services,0.5
2092,2009-Q2,services,professional services,"legal, accounting and management services",0.4
2093,2009-Q2,services,professional services,architectural and engineering services,0.7
2094,2009-Q2,services,professional services,other professional services,-0.2
2095,2009-Q2,services,administrative and support services,security and investigation,0.9
2096,2009-Q2,services,administrative and support services,cleaning and landscaping,-0.1
2097,2009-Q2,services,administrative and support services,other administrative and support services,1.4
2098,2009-Q2,services,"community, social and personal services",public administration and education,1.9
2099,2009-Q2,services,"community, social and personal services",public administration,0.6
2100,2009-Q2,services,"community, social and personal services",education,1.3
2101,2009-Q2,services,"community, social and personal services",health and social services,2.3
2102,2009-Q2,services,"community, social and personal services","arts, entertainment and recreation",1.1
2103,2009-Q2,services,"community, social and personal services","other community, social and personal services",0.9
2104,2009-Q2,others,others,others,-0.5
2105,2009-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.3
2106,2009-Q3,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.3
2107,2009-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",0.9
2108,2009-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-1.4
2109,2009-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",0.5
2110,2009-Q3,manufacturing,transport equipment,transport equipment,-4.8
2111,2009-Q3,manufacturing,other manufacturing industries,other manufacturing industries,-0.6
2112,2009-Q3,construction,construction,construction,7.1
2113,2009-Q3,services,wholesale and retail trade,wholesale trade,0.8
2114,2009-Q3,services,wholesale and retail trade,retail trade,-
2115,2009-Q3,services,transportation and storage,land transport and supporting services,-0.1
2116,2009-Q3,services,transportation and storage,water transport and supporting services,0.3
2117,2009-Q3,services,transportation and storage,air transport and supporting services,1.1
2118,2009-Q3,services,transportation and storage,other transportation and storage services,-0.7
2119,2009-Q3,services,accommodation and food services,accommodation,0.7
2120,2009-Q3,services,accommodation and food services,food and beverage services,-0.3
2121,2009-Q3,services,information and communications,"telecommunications, broadcasting and publishing",0.3
2122,2009-Q3,services,information and communications,it and other information services,0.6
2123,2009-Q3,services,financial and insurance services,financial services,1.2
2124,2009-Q3,services,financial and insurance services,insurance services,0.2
2125,2009-Q3,services,real estate services,real estate services,1
2126,2009-Q3,services,professional services,"legal, accounting and management services",0.5
2127,2009-Q3,services,professional services,architectural and engineering services,0.7
2128,2009-Q3,services,professional services,other professional services,-0.1
2129,2009-Q3,services,administrative and support services,security and investigation,0.5
2130,2009-Q3,services,administrative and support services,cleaning and landscaping,-0.2
2131,2009-Q3,services,administrative and support services,other administrative and support services,-0.1
2132,2009-Q3,services,"community, social and personal services",public administration and education,2.1
2133,2009-Q3,services,"community, social and personal services",public administration,1.1
2134,2009-Q3,services,"community, social and personal services",education,1.1
2135,2009-Q3,services,"community, social and personal services",health and social services,1.2
2136,2009-Q3,services,"community, social and personal services","arts, entertainment and recreation",1.3
2137,2009-Q3,services,"community, social and personal services","other community, social and personal services",1.3
2138,2009-Q3,others,others,others,-0.1
2139,2009-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.4
2140,2009-Q4,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-
2141,2009-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",1.1
2142,2009-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-
2143,2009-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",1.3
2144,2009-Q4,manufacturing,transport equipment,transport equipment,-1.7
2145,2009-Q4,manufacturing,other manufacturing industries,other manufacturing industries,0.3
2146,2009-Q4,construction,construction,construction,4.7
2147,2009-Q4,services,wholesale and retail trade,wholesale trade,2.3
2148,2009-Q4,services,wholesale and retail trade,retail trade,3.9
2149,2009-Q4,services,transportation and storage,land transport and supporting services,0.9
2150,2009-Q4,services,transportation and storage,water transport and supporting services,-0.1
2151,2009-Q4,services,transportation and storage,air transport and supporting services,-0.3
2152,2009-Q4,services,transportation and storage,other transportation and storage services,-0.3
2153,2009-Q4,services,accommodation and food services,accommodation,1.3
2154,2009-Q4,services,accommodation and food services,food and beverage services,4.8
2155,2009-Q4,services,information and communications,"telecommunications, broadcasting and publishing",0.2
2156,2009-Q4,services,information and communications,it and other information services,0.6
2157,2009-Q4,services,financial and insurance services,financial services,1.5
2158,2009-Q4,services,financial and insurance services,insurance services,0.2
2159,2009-Q4,services,real estate services,real estate services,0.2
2160,2009-Q4,services,professional services,"legal, accounting and management services",0.9
2161,2009-Q4,services,professional services,architectural and engineering services,0.5
2162,2009-Q4,services,professional services,other professional services,0.7
2163,2009-Q4,services,administrative and support services,security and investigation,-0.3
2164,2009-Q4,services,administrative and support services,cleaning and landscaping,0.8
2165,2009-Q4,services,administrative and support services,other administrative and support services,3
2166,2009-Q4,services,"community, social and personal services",public administration and education,1.5
2167,2009-Q4,services,"community, social and personal services",public administration,0.4
2168,2009-Q4,services,"community, social and personal services",education,1.1
2169,2009-Q4,services,"community, social and personal services",health and social services,0.9
2170,2009-Q4,services,"community, social and personal services","arts, entertainment and recreation",5.2
2171,2009-Q4,services,"community, social and personal services","other community, social and personal services",3.1
2172,2009-Q4,others,others,others,-0.2
2173,2010-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.9
2174,2010-Q1,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,3.5
2175,2010-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-0.7
2176,2010-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-
2177,2010-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",2.4
2178,2010-Q1,manufacturing,transport equipment,transport equipment,0.6
2179,2010-Q1,manufacturing,other manufacturing industries,other manufacturing industries,0.9
2180,2010-Q1,construction,construction,construction,-2.5
2181,2010-Q1,services,wholesale and retail trade,wholesale trade,1.8
2182,2010-Q1,services,wholesale and retail trade,retail trade,0.2
2183,2010-Q1,services,transportation and storage,land transport and supporting services,0.6
2184,2010-Q1,services,transportation and storage,water transport and supporting services,0.2
2185,2010-Q1,services,transportation and storage,air transport and supporting services,-
2186,2010-Q1,services,transportation and storage,other transportation and storage services,0.6
2187,2010-Q1,services,accommodation and food services,accommodation,2.2
2188,2010-Q1,services,accommodation and food services,food and beverage services,0.6
2189,2010-Q1,services,information and communications,"telecommunications, broadcasting and publishing",0.2
2190,2010-Q1,services,information and communications,it and other information services,2
2191,2010-Q1,services,financial and insurance services,financial services,-2.4
2192,2010-Q1,services,financial and insurance services,insurance services,0.1
2193,2010-Q1,services,real estate services,real estate services,1.1
2194,2010-Q1,services,professional services,"legal, accounting and management services",-
2195,2010-Q1,services,professional services,architectural and engineering services,1.8
2196,2010-Q1,services,professional services,other professional services,0.3
2197,2010-Q1,services,administrative and support services,security and investigation,0.9
2198,2010-Q1,services,administrative and support services,cleaning and landscaping,1.1
2199,2010-Q1,services,administrative and support services,other administrative and support services,4
2200,2010-Q1,services,"community, social and personal services",public administration and education,3.9
2201,2010-Q1,services,"community, social and personal services",public administration,2.9
2202,2010-Q1,services,"community, social and personal services",education,1
2203,2010-Q1,services,"community, social and personal services",health and social services,2.3
2204,2010-Q1,services,"community, social and personal services","arts, entertainment and recreation",5.1
2205,2010-Q1,services,"community, social and personal services","other community, social and personal services",5.2
2206,2010-Q1,others,others,others,-0.3
2207,2010-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.2
2208,2010-Q2,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,0.1
2209,2010-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-0.8
2210,2010-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",1
2211,2010-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",1.8
2212,2010-Q2,manufacturing,transport equipment,transport equipment,-4
2213,2010-Q2,manufacturing,other manufacturing industries,other manufacturing industries,0.7
2214,2010-Q2,construction,construction,construction,1.6
2215,2010-Q2,services,wholesale and retail trade,wholesale trade,2.5
2216,2010-Q2,services,wholesale and retail trade,retail trade,-1
2217,2010-Q2,services,transportation and storage,land transport and supporting services,0.5
2218,2010-Q2,services,transportation and storage,water transport and supporting services,0.4
2219,2010-Q2,services,transportation and storage,air transport and supporting services,0.3
2220,2010-Q2,services,transportation and storage,other transportation and storage services,0.6
2221,2010-Q2,services,accommodation and food services,accommodation,0.6
2222,2010-Q2,services,accommodation and food services,food and beverage services,0.3
2223,2010-Q2,services,information and communications,"telecommunications, broadcasting and publishing",0.5
2224,2010-Q2,services,information and communications,it and other information services,1.7
2225,2010-Q2,services,financial and insurance services,financial services,2.5
2226,2010-Q2,services,financial and insurance services,insurance services,0.6
2227,2010-Q2,services,real estate services,real estate services,-0.4
2228,2010-Q2,services,professional services,"legal, accounting and management services",2.5
2229,2010-Q2,services,professional services,architectural and engineering services,0.5
2230,2010-Q2,services,professional services,other professional services,1
2231,2010-Q2,services,administrative and support services,security and investigation,-0.1
2232,2010-Q2,services,administrative and support services,cleaning and landscaping,0.5
2233,2010-Q2,services,administrative and support services,other administrative and support services,3.2
2234,2010-Q2,services,"community, social and personal services",public administration and education,1.5
2235,2010-Q2,services,"community, social and personal services",public administration,-0.4
2236,2010-Q2,services,"community, social and personal services",education,1.8
2237,2010-Q2,services,"community, social and personal services",health and social services,2.4
2238,2010-Q2,services,"community, social and personal services","arts, entertainment and recreation",3.1
2239,2010-Q2,services,"community, social and personal services","other community, social and personal services",0.9
2240,2010-Q2,others,others,others,-
2241,2010-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.3
2242,2010-Q3,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-
2243,2010-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",0.1
2244,2010-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",1.7
2245,2010-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",1.1
2246,2010-Q3,manufacturing,transport equipment,transport equipment,-3.3
2247,2010-Q3,manufacturing,other manufacturing industries,other manufacturing industries,0.2
2248,2010-Q3,construction,construction,construction,0.3
2249,2010-Q3,services,wholesale and retail trade,wholesale trade,3
2250,2010-Q3,services,wholesale and retail trade,retail trade,-0.7
2251,2010-Q3,services,transportation and storage,land transport and supporting services,0.4
2252,2010-Q3,services,transportation and storage,water transport and supporting services,0.3
2253,2010-Q3,services,transportation and storage,air transport and supporting services,1.1
2254,2010-Q3,services,transportation and storage,other transportation and storage services,-0.2
2255,2010-Q3,services,accommodation and food services,accommodation,1.2
2256,2010-Q3,services,accommodation and food services,food and beverage services,1.2
2257,2010-Q3,services,information and communications,"telecommunications, broadcasting and publishing",0.6
2258,2010-Q3,services,information and communications,it and other information services,1.9
2259,2010-Q3,services,financial and insurance services,financial services,3.3
2260,2010-Q3,services,financial and insurance services,insurance services,0.3
2261,2010-Q3,services,real estate services,real estate services,-
2262,2010-Q3,services,professional services,"legal, accounting and management services",2.7
2263,2010-Q3,services,professional services,architectural and engineering services,0.3
2264,2010-Q3,services,professional services,other professional services,0.9
2265,2010-Q3,services,administrative and support services,security and investigation,0.7
2266,2010-Q3,services,administrative and support services,cleaning and landscaping,0.2
2267,2010-Q3,services,administrative and support services,other administrative and support services,1.2
2268,2010-Q3,services,"community, social and personal services",public administration and education,1.4
2269,2010-Q3,services,"community, social and personal services",public administration,0.4
2270,2010-Q3,services,"community, social and personal services",education,1
2271,2010-Q3,services,"community, social and personal services",health and social services,1.4
2272,2010-Q3,services,"community, social and personal services","arts, entertainment and recreation",0.4
2273,2010-Q3,services,"community, social and personal services","other community, social and personal services",-1.5
2274,2010-Q3,others,others,others,0.3
2275,2010-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.6
2276,2010-Q4,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.1
2277,2010-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-2.7
2278,2010-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",1.5
2279,2010-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",0.3
2280,2010-Q4,manufacturing,transport equipment,transport equipment,-2.5
2281,2010-Q4,manufacturing,other manufacturing industries,other manufacturing industries,0.5
2282,2010-Q4,construction,construction,construction,1.3
2283,2010-Q4,services,wholesale and retail trade,wholesale trade,3.5
2284,2010-Q4,services,wholesale and retail trade,retail trade,4.6
2285,2010-Q4,services,transportation and storage,land transport and supporting services,0.3
2286,2010-Q4,services,transportation and storage,water transport and supporting services,0.2
2287,2010-Q4,services,transportation and storage,air transport and supporting services,0.3
2288,2010-Q4,services,transportation and storage,other transportation and storage services,1
2289,2010-Q4,services,accommodation and food services,accommodation,1.4
2290,2010-Q4,services,accommodation and food services,food and beverage services,7.4
2291,2010-Q4,services,information and communications,"telecommunications, broadcasting and publishing",0.6
2292,2010-Q4,services,information and communications,it and other information services,1.3
2293,2010-Q4,services,financial and insurance services,financial services,2.1
2294,2010-Q4,services,financial and insurance services,insurance services,-
2295,2010-Q4,services,real estate services,real estate services,1.9
2296,2010-Q4,services,professional services,"legal, accounting and management services",1.9
2297,2010-Q4,services,professional services,architectural and engineering services,0.4
2298,2010-Q4,services,professional services,other professional services,0.2
2299,2010-Q4,services,administrative and support services,security and investigation,-0.4
2300,2010-Q4,services,administrative and support services,cleaning and landscaping,0.1
2301,2010-Q4,services,administrative and support services,other administrative and support services,-0.3
2302,2010-Q4,services,"community, social and personal services",public administration and education,1.2
2303,2010-Q4,services,"community, social and personal services",public administration,-0.6
2304,2010-Q4,services,"community, social and personal services",education,1.8
2305,2010-Q4,services,"community, social and personal services",health and social services,1.9
2306,2010-Q4,services,"community, social and personal services","arts, entertainment and recreation",2.1
2307,2010-Q4,services,"community, social and personal services","other community, social and personal services",3
2308,2010-Q4,others,others,others,0.4
2309,2011-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-0.1
2310,2011-Q1,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-
2311,2011-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-0.5
2312,2011-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",1.8
2313,2011-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-1.4
2314,2011-Q1,manufacturing,transport equipment,transport equipment,0.6
2315,2011-Q1,manufacturing,other manufacturing industries,other manufacturing industries,1.3
2316,2011-Q1,construction,construction,construction,2.4
2317,2011-Q1,services,wholesale and retail trade,wholesale trade,1.6
2318,2011-Q1,services,wholesale and retail trade,retail trade,0.2
2319,2011-Q1,services,transportation and storage,land transport and supporting services,0.1
2320,2011-Q1,services,transportation and storage,water transport and supporting services,0.3
2321,2011-Q1,services,transportation and storage,air transport and supporting services,0.6
2322,2011-Q1,services,transportation and storage,other transportation and storage services,0.4
2323,2011-Q1,services,accommodation and food services,accommodation,-0.3
2324,2011-Q1,services,accommodation and food services,food and beverage services,0.9
2325,2011-Q1,services,information and communications,"telecommunications, broadcasting and publishing",0.3
2326,2011-Q1,services,information and communications,it and other information services,2.2
2327,2011-Q1,services,financial and insurance services,financial services,1.2
2328,2011-Q1,services,financial and insurance services,insurance services,0.1
2329,2011-Q1,services,real estate services,real estate services,0.8
2330,2011-Q1,services,professional services,"legal, accounting and management services",0.6
2331,2011-Q1,services,professional services,architectural and engineering services,0.9
2332,2011-Q1,services,professional services,other professional services,1
2333,2011-Q1,services,administrative and support services,security and investigation,1
2334,2011-Q1,services,administrative and support services,cleaning and landscaping,0.8
2335,2011-Q1,services,administrative and support services,other administrative and support services,2.7
2336,2011-Q1,services,"community, social and personal services",public administration and education,5.3
2337,2011-Q1,services,"community, social and personal services",public administration,3.3
2338,2011-Q1,services,"community, social and personal services",education,2
2339,2011-Q1,services,"community, social and personal services",health and social services,2.2
2340,2011-Q1,services,"community, social and personal services","arts, entertainment and recreation",0.3
2341,2011-Q1,services,"community, social and personal services","other community, social and personal services",0.6
2342,2011-Q1,others,others,others,0.2
2343,2011-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-0.1
2344,2011-Q2,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.2
2345,2011-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-
2346,2011-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",1.5
2347,2011-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-0.7
