Timestamp,1. Have you ever been to Universal Studios?,2. How frequently do you visit a theme park?,3. What is your age?,4. What is your gender?,5. What is your monthly income?,"6. What is your nationality? If you select ""Other"", please specify.",7. Who do you usually go to theme parks with? (Select all that apply),8. What types of rides do you prefer?,9. What time of the day are you usually in the theme park? (Select all that apply),10. When are you most likely to visit a theme park? (Select all that apply),"11. Why do you visit a theme park? If you select ""Other"", please specify. (Select all that apply)","12. What types of theme park marketing content have you seen recently? If you select ""Other"", please specify. (Select all that apply)","13. What types of marketing content do you find most appealing from theme parks? If you select ""Other"", please specify. (Select all that apply)",14. Getting tickets was easy for me,"15. Fees were fairly priced (F&B, admission tickets)",16. I spent less time queueing than expected,17. Getting an express / fast pass is worth it,18. The park was clean and well maintained,"19. There were adequate facilities provided (toilets, shelters, cooling or heating, etc.)",20. I was able to navigate through the theme park easily,21. The rides and attractions were enjoyable,22. The rides and attractions help reinforce the park’s theme and atmosphere,23. The rides and attractions are relevant today,24. The park was adequately staffed,25. Staff were friendly and helpful,26. I am likely to come back to this theme park again,27. How concerned are you of these possible situations at a theme park during your visit? (Rate each factor on a scale of 1-5) [Ride Malfunction],27. How concerned are you of these possible situations at a theme park during your visit? (Rate each factor on a scale of 1-5) [Violent behaviour from others],27. How concerned are you of these possible situations at a theme park during your visit? (Rate each factor on a scale of 1-5) [Crowd crush],27. How concerned are you of these possible situations at a theme park during your visit? (Rate each factor on a scale of 1-5) [Theft & Pickpocketing],27. How concerned are you of these possible situations at a theme park during your visit? (Rate each factor on a scale of 1-5) [Getting lost or separated from friends and family],27. How concerned are you of these possible situations at a theme park during your visit? (Rate each factor on a scale of 1-5) [Lack of immediate medical attention],27. How concerned are you of these possible situations at a theme park during your visit? (Rate each factor on a scale of 1-5) [Sudden weather changes],27. How concerned are you of these possible situations at a theme park during your visit? (Rate each factor on a scale of 1-5) [Food contamination],"28. What dissuades you from wanting to visit a theme park? If you select ""Other"", please specify",29. How do you typically decide which attractions to visit at a theme park?,"30. What do you spend the most money on in a theme park (excluding the admission ticket)? If you select ""Other"", please specify",31. (Optional - only if you have recently been to USS) Which areas did you visit and in what order? (Select only the areas which you have visited) [Hollywood],31. (Optional - only if you have recently been to USS) Which areas did you visit and in what order? (Select only the areas which you have visited) [Minion Land],31. (Optional - only if you have recently been to USS) Which areas did you visit and in what order? (Select only the areas which you have visited) [Far Far Away],31. (Optional - only if you have recently been to USS) Which areas did you visit and in what order? (Select only the areas which you have visited) [The Lost World],31. (Optional - only if you have recently been to USS) Which areas did you visit and in what order? (Select only the areas which you have visited) [Ancient Egypt],31. (Optional - only if you have recently been to USS) Which areas did you visit and in what order? (Select only the areas which you have visited) [Sci-fi City],31. (Optional - only if you have recently been to USS) Which areas did you visit and in what order? (Select only the areas which you have visited) [New York]
20/02/2025 00:29:19,Yes,Once every 2-3 years,19-25 years old,Male,No income,Singaporean/PR,"Friends, Family",High-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)","Weekdays (Mondays to Thursdays), Fridays, Saturdays, Sundays, School Holidays","To experience a specific attraction or ride, Because of a special promotion or discount, To spend time with family/friends, For a relaxing getaway or vacation, As part of a larger travel plan (e.g., trip to the area), To visit a newly opened or recently renovated park/area, Because of a social media post or influencer recommendation","Social media ads, YouTube videos or influencer content (can be overseas theme parks as well), Online banner ads, Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles, New attractions or event announcements, User-generated content (e.g., visitor testimonials, influencer partnerships), Interactive experiences (e.g., virtual tours, social media contests)",6,4,4,4,6,6,6,7,7,7,7,7,7,2,2,2,2,2,2,4,2,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.","Transportation (e.g. Parking, taxi fares etc.)",,,,,,,
20/02/2025 10:07:57,Yes,Once every 2-3 years,19-25 years old,Female,Below $2000,Singaporean/PR,"Couple (I go with my partner), Friends, Family",High-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)","Weekdays (Mondays to Thursdays), Fridays, School Holidays, For special events (eg. Halloween, Christmas etc.)","To experience a specific attraction or ride, To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount, To spend time with family/friends, As part of a larger travel plan (e.g., trip to the area), To visit a newly opened or recently renovated park/area","Social media ads, YouTube videos or influencer content (can be overseas theme parks as well), Billboard or outdoor ads","Discounts, special offers, or bundles, New attractions or event announcements, Behind-the-scenes content or exclusive previews",7,5,3,4,6,7,7,6,7,7,7,7,7,4,1 - Not a concern at all,3,2,3,4,5 - Very concerned,4,"Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
20/02/2025 19:20:39,Yes,Once every year,19-25 years old,Female,"$6,000 - $9,999",Singaporean/PR,"Single (I go alone), Couple (I go with my partner)",High-intensity rides,"Afternoon (12pm-5pm), Evening (5pm-7pm)",Sundays,"To experience a specific attraction or ride, Because of a special promotion or discount, To spend time with family/friends, For a relaxing getaway or vacation",TV commercials,"Discounts, special offers, or bundles",7,5,1,7,5,7,6,7,7,3,6,7,7,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,"Costs (F&B, admission tickets, etc.)",I decide based on which rides are closest to me at the moment.,Merchandise,,,,,,,
20/02/2025 22:27:10,Yes,Once every 2-3 years,19-25 years old,Male,"$6,000 - $9,999",Singaporean/PR,Friends,High-intensity rides,"Morning (10am-12pm), Evening (5pm-7pm)","Weekdays (Mondays to Thursdays), Evenings/Night visits (After 6pm)",To spend time with family/friends,On mrt about genting,"Discounts, special offers, or bundles",7,4,1,1,5,5,7,5,5,5,5,5,5,1 - Not a concern at all,1 - Not a concern at all,5 - Very concerned,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,5 - Very concerned,1 - Not a concern at all,"Crowd, Long wait time","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
21/02/2025 13:05:52,Yes,< Once every 3 years,19-25 years old,Female,No income,Singaporean/PR,Friends,Low-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm)",Weekdays (Mondays to Thursdays),To spend time with family/friends,YouTube videos or influencer content (can be overseas theme parks as well),"Discounts, special offers, or bundles",6,5,1,2,5,6,3,6,5,4,3,5,6,5 - Very concerned,5 - Very concerned,5 - Very concerned,4,1 - Not a concern at all,2,2,1 - Not a concern at all,"Long wait time, Unpredictable weather conditions",I decide based on which rides are closest to me at the moment.,F&B,,,,,,,
21/02/2025 13:19:02,Yes,Once every year,19-25 years old,Male,No income,Singaporean/PR,"Friends, Family",Medium-intensity rides,"Afternoon (12pm-5pm), Evening (5pm-7pm)","Public Holidays, School Holidays, For special events (eg. Halloween, Christmas etc.)","To spend time with family/friends, For a relaxing getaway or vacation","Social media ads, YouTube videos or influencer content (can be overseas theme parks as well)","Discounts, special offers, or bundles, New attractions or event announcements",5,4,4,5,6,6,6,6,6,5,6,6,6,5 - Very concerned,4,4,3,3,4,5 - Very concerned,4,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions",I stick to the few rides/attractions that I enjoy the most.,"Transportation (e.g. Parking, taxi fares etc.)",,,,,,,
21/02/2025 13:32:12,Yes,< Once every 3 years,19-25 years old,Male,No income,Singaporean/PR,Friends,I do not go on any rides,Evening (5pm-7pm),"Fridays, Saturdays, Sundays","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises)",Havent seen 1 in awhile,"Discounts, special offers, or bundles",7,2,1,4,7,6,4,4,3,5,6,6,4,5 - Very concerned,5 - Very concerned,4,1 - Not a concern at all,1 - Not a concern at all,4,2,1 - Not a concern at all,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions",I stick to the few rides/attractions that I enjoy the most.,"Transportation (e.g. Parking, taxi fares etc.)",,,,,,,
21/02/2025 13:44:18,Yes,< Once every 3 years,19-25 years old,Male,No income,Singaporean/PR,Friends,Medium-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm)","Fridays, Saturdays, Sundays, School Holidays",To spend time with family/friends,"Social media ads, Print advertisements (e.g., magazines, brochures), Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles, User-generated content (e.g., visitor testimonials, influencer partnerships)",5,3,5,5,5,5,6,6,6,6,4,4,5,2,2,3,1 - Not a concern at all,2,2,4,3,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
21/02/2025 13:55:07,Yes,< Once every 3 years,19-25 years old,Male,No income,Singaporean/PR,"Friends, Family",Medium-intensity rides,"Afternoon (12pm-5pm), Evening (5pm-7pm)","Public Holidays, School Holidays, For special events (eg. Halloween, Christmas etc.)","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount, To spend time with family/friends, For a relaxing getaway or vacation","Social media ads, Billboard or outdoor ads","Discounts, special offers, or bundles, New attractions or event announcements",6,2,4,5,6,6,6,6,5,4,6,6,5,1 - Not a concern at all,1 - Not a concern at all,2,2,1 - Not a concern at all,1 - Not a concern at all,2,2,"Crowd, Costs (F&B, admission tickets, etc.)",I follow a planned route with specific rides in mind.,F&B,,,,,,,
21/02/2025 13:59:14,Yes,Once every 2-3 years,19-25 years old,Male,Below $2000,Singaporean/PR,Friends,High-intensity rides,"Afternoon (12pm-5pm), Evening (5pm-7pm)","Weekdays (Mondays to Thursdays), Public Holidays","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount, To spend time with family/friends","Social media ads, Email newsletter or promotional offers","Discounts, special offers, or bundles, New attractions or event announcements",6,4,5,1,6,6,6,6,6,5,5,6,6,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,2,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,2,"Crowd, Long wait time","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
21/02/2025 15:37:25,Yes,A few times every year,26-35 years old,Female,Below $2000,Singaporean/PR,"Friends, Family",High-intensity rides,"Afternoon (12pm-5pm), Evening (5pm-7pm)","Saturdays, Sundays, Public Holidays, School Holidays","To experience a specific attraction or ride, To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), To spend time with family/friends, As part of a larger travel plan (e.g., trip to the area)","TV commercials, Online banner ads, Billboard or outdoor ads","New attractions or event announcements, Behind-the-scenes content or exclusive previews",7,5,7,7,7,7,7,7,7,7,6,7,7,4,5 - Very concerned,3,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,5 - Very concerned,5 - Very concerned,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time",I follow a planned route with specific rides in mind.,Merchandise,,,,,,,
21/02/2025 15:58:58,Yes,< Once every 3 years,19-25 years old,Female,No income,Singaporean/PR,"Friends, Family",Medium-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm)","Weekdays (Mondays to Thursdays), School Holidays","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), To spend time with family/friends","YouTube videos or influencer content (can be overseas theme parks as well), Email newsletter or promotional offers, Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles, New attractions or event announcements",6,4,5,4,6,5,6,6,5,6,5,5,6,4,3,5 - Very concerned,3,2,4,5 - Very concerned,5 - Very concerned,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",Merchandise,,,,,,,
21/02/2025 15:59:32,Yes,When on vacation,36-45 years old,Female,No income,Myanmar,"Couple (I go with my partner), Friends, Family",Low-intensity rides,Evening (5pm-7pm),"Saturdays, Sundays, Public Holidays","To spend time with family/friends, For a relaxing getaway or vacation",Email newsletter or promotional offers,"Discounts, special offers, or bundles",4,5,2,1,6,5,7,7,4,7,7,7,7,5 - Very concerned,4,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,"Costs (F&B, admission tickets, etc.)",I stick to the few rides/attractions that I enjoy the most.,F&B,,,,,,,
21/02/2025 16:00:44,Yes,< Once every 3 years,19-25 years old,Female,No income,Singaporean/PR,Friends,Medium-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm)","Weekdays (Mondays to Thursdays), School Holidays",To spend time with family/friends,"Social media ads, Billboard or outdoor ads","Discounts, special offers, or bundles",6,3,3,4,6,4,6,4,4,5,5,5,5,4,2,2,2,4,4,2,2,"Costs (F&B, admission tickets, etc.), Long wait time, Boring","A mix of both of the above —some planned rides, but I also go with what’s nearby.","Transportation (e.g. Parking, taxi fares etc.)",,,,,,,
21/02/2025 16:01:04,Yes,< Once every 3 years,26-35 years old,Male,No income,Singaporean/PR,"Friends, Family",High-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm)","Saturdays, Sundays, School Holidays, For special events (eg. Halloween, Christmas etc.)","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), To spend time with family/friends",Social media ads,"Discounts, special offers, or bundles, New attractions or event announcements",7,2,7,5,7,5,5,7,7,6,7,7,7,1 - Not a concern at all,1 - Not a concern at all,5 - Very concerned,2,2,2,4,1 - Not a concern at all,"Crowd, Costs (F&B, admission tickets, etc.), Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.","Transportation (e.g. Parking, taxi fares etc.)",,,,,,,
21/02/2025 16:03:48,Yes,Once every 2-3 years,19-25 years old,Female,No income,Singaporean/PR,Friends,High-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)","For special events (eg. Halloween, Christmas etc.)","To experience a specific attraction or ride, To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), To spend time with family/friends, As part of a larger travel plan (e.g., trip to the area)","Social media ads, YouTube videos or influencer content (can be overseas theme parks as well)","Discounts, special offers, or bundles, New attractions or event announcements",6,5,5,3,6,6,7,6,6,6,6,6,6,1 - Not a concern at all,1 - Not a concern at all,3,2,1 - Not a concern at all,2,4,3,"Costs (F&B, admission tickets, etc.), Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
21/02/2025 16:13:38,Yes,< Once every 3 years,19-25 years old,Female,Below $2000,Singaporean/PR,Friends,Low-intensity rides,"Afternoon (12pm-5pm), Evening (5pm-7pm)","For special events (eg. Halloween, Christmas etc.)","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises)",Social media ads,New attractions or event announcements,6,5,5,5,6,6,6,6,5,6,6,6,6,4,4,5 - Very concerned,5 - Very concerned,5 - Very concerned,5 - Very concerned,5 - Very concerned,4,"Crowd, Costs (F&B, admission tickets, etc.)",I stick to the few rides/attractions that I enjoy the most.,F&B,,,,,,,
21/02/2025 16:28:18,Yes,Once every year,19-25 years old,Female,No income,Singaporean/PR,Friends,Medium-intensity rides,Morning (10am-12pm),"Weekdays (Mondays to Thursdays), Public Holidays, School Holidays, For special events (eg. Halloween, Christmas etc.)","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), To spend time with family/friends, As part of a larger travel plan (e.g., trip to the area)","Social media ads, Billboard or outdoor ads, Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles, User-generated content (e.g., visitor testimonials, influencer partnerships)",5,3,4,5,6,5,4,5,5,6,6,6,5,4,3,5 - Very concerned,4,5 - Very concerned,3,5 - Very concerned,3,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions, Boring","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
21/02/2025 16:31:33,Yes,Once every 2-3 years,19-25 years old,Female,No income,Singaporean/PR,Friends,Medium-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)","School Holidays, For special events (eg. Halloween, Christmas etc.)","To experience a specific attraction or ride, To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount, To spend time with family/friends, As part of a larger travel plan (e.g., trip to the area)","Social media ads, YouTube videos or influencer content (can be overseas theme parks as well), Theme park websites or blogs","Discounts, special offers, or bundles, New attractions or event announcements",6,4,5,7,6,6,6,6,7,6,6,4,6,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,2,1 - Not a concern at all,3,1 - Not a concern at all,"Costs (F&B, admission tickets, etc.), Long wait time","A mix of both of the above —some planned rides, but I also go with what’s nearby.",Merchandise,,,,,,,
21/02/2025 16:40:17,Yes,When on vacation,15-18 years old,Female,No income,Singaporean/PR,Friends,High-intensity rides,Morning (10am-12pm),"For special events (eg. Halloween, Christmas etc.)","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount, To spend time with family/friends, For a relaxing getaway or vacation, As part of a larger travel plan (e.g., trip to the area), To visit a newly opened or recently renovated park/area, Because of a social media post or influencer recommendation",Social media ads,"Interactive experiences (e.g., virtual tours, social media contests)",6,3,1,4,7,4,5,5,5,5,6,6,7,1 - Not a concern at all,1 - Not a concern at all,3,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,4,1 - Not a concern at all,"Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions, Boring","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
21/02/2025 16:58:18,Yes,> Once every month,26-35 years old,Female,"$2,000 - $5,999",Thai,Friends,Medium-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)",Sundays,"To experience a specific attraction or ride, To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), To visit a newly opened or recently renovated park/area","Social media ads, YouTube videos or influencer content (can be overseas theme parks as well), Online banner ads, Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles, New attractions or event announcements, Behind-the-scenes content or exclusive previews",7,6,6,6,7,7,6,7,6,6,7,7,7,5 - Very concerned,5 - Very concerned,5 - Very concerned,5 - Very concerned,4,4,3,3,"Crowd, Long wait time",I decide based on which rides are closest to me at the moment.,Merchandise,,,,,,,
21/02/2025 17:21:18,Yes,When on vacation,26-35 years old,Female,"$2,000 - $5,999",China,Friends,Low-intensity rides,Morning (10am-12pm),Fridays,"For a relaxing getaway or vacation, As part of a larger travel plan (e.g., trip to the area)",Social media ads,"Discounts, special offers, or bundles, New attractions or event announcements",7,7,7,5,7,7,7,6,7,7,7,7,7,4,4,3,3,3,3,3,3,"Crowd, Long wait time","A mix of both of the above —some planned rides, but I also go with what’s nearby.",Merchandise,,,,,,,
21/02/2025 17:31:42,Yes,Once every year,19-25 years old,Female,No income,Singaporean/PR,Friends,High-intensity rides,"Afternoon (12pm-5pm), Evening (5pm-7pm)","Weekdays (Mondays to Thursdays), For special events (eg. Halloween, Christmas etc.), Evenings/Night visits (After 6pm)","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount, To spend time with family/friends, To visit a newly opened or recently renovated park/area","Social media ads, YouTube videos or influencer content (can be overseas theme parks as well)","Discounts, special offers, or bundles, New attractions or event announcements, Behind-the-scenes content or exclusive previews, User-generated content (e.g., visitor testimonials, influencer partnerships), Interactive experiences (e.g., virtual tours, social media contests)",7,1,4,4,5,7,7,4,7,3,7,7,7,1 - Not a concern at all,1 - Not a concern at all,5 - Very concerned,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,4,1 - Not a concern at all,"Crowd, Long wait time, Boring","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
21/02/2025 17:32:13,Yes,Once every year,19-25 years old,Female,No income,Singaporean/PR,"Couple (I go with my partner), Friends, Family",High-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)","For special events (eg. Halloween, Christmas etc.)",To spend time with family/friends,Social media ads,"Discounts, special offers, or bundles",5,1,1,6,6,5,5,5,5,5,5,6,6,4,4,4,3,4,3,4,3,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time",I decide based on which rides are closest to me at the moment.,F&B,,,,,,,
21/02/2025 17:42:21,Yes,Once every 2-3 years,19-25 years old,Male,No income,Singaporean/PR,"Couple (I go with my partner), Friends",High-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)","Saturdays, Sundays, For special events (eg. Halloween, Christmas etc.)","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), To spend time with family/friends, As part of a larger travel plan (e.g., trip to the area)",Email newsletter or promotional offers,"Discounts, special offers, or bundles",6,4,2,4,6,7,6,5,6,5,6,6,6,4,1 - Not a concern at all,2,4,1 - Not a concern at all,1 - Not a concern at all,5 - Very concerned,1 - Not a concern at all,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
21/02/2025 18:01:50,Yes,Once every 2-3 years,<15 years old,Female,No income,Singaporean/PR,Friends,High-intensity rides,"Afternoon (12pm-5pm), Evening (5pm-7pm)",Weekdays (Mondays to Thursdays),"To experience a specific attraction or ride, To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount, To spend time with family/friends, For a relaxing getaway or vacation, As part of a larger travel plan (e.g., trip to the area), To visit a newly opened or recently renovated park/area, Because of a social media post or influencer recommendation","Online banner ads, Billboard or outdoor ads, Theme park websites or blogs","Discounts, special offers, or bundles",6,4,6,2,5,6,5,7,6,6,5,5,7,2,2,2,2,2,1 - Not a concern at all,3,1 - Not a concern at all,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
21/02/2025 18:06:19,Yes,When on vacation,19-25 years old,Female,No income,Singaporean/PR,"Couple (I go with my partner), Friends, Family",Medium-intensity rides,Morning (10am-12pm),"Weekdays (Mondays to Thursdays), For special events (eg. Halloween, Christmas etc.)","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), To spend time with family/friends, For a relaxing getaway or vacation, As part of a larger travel plan (e.g., trip to the area), To visit a newly opened or recently renovated park/area","Social media ads, YouTube videos or influencer content (can be overseas theme parks as well), Theme park websites or blogs, Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles, New attractions or event announcements, User-generated content (e.g., visitor testimonials, influencer partnerships), Interactive experiences (e.g., virtual tours, social media contests)",6,4,4,1,6,6,6,5,6,6,6,6,4,2,2,4,3,2,2,3,1 - Not a concern at all,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions, Boring","A mix of both of the above —some planned rides, but I also go with what’s nearby.","Transportation (e.g. Parking, taxi fares etc.)",,,,,,,
21/02/2025 18:30:01,Yes,A few times every year,19-25 years old,Female,No income,Singaporean/PR,"Friends, Family",High-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)","School Holidays, For special events (eg. Halloween, Christmas etc.), Evenings/Night visits (After 6pm)","To experience a specific attraction or ride, To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), Because of a special promotion or discount, To visit a newly opened or recently renovated park/area","Social media ads, Promotions or discounts offered by travel agencies or third-party platforms like Agoda, Groupon, etc.","Discounts, special offers, or bundles",7,4,4,2,6,4,7,6,6,6,6,6,6,4,1 - Not a concern at all,4,2,1 - Not a concern at all,2,4,3,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions, Boring","A mix of both of the above —some planned rides, but I also go with what’s nearby.",F&B,,,,,,,
21/02/2025 18:31:14,Yes,Once every 2-3 years,19-25 years old,Male,No income,Singaporean/PR,Friends,High-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm), Evening (5pm-7pm)","Weekdays (Mondays to Thursdays), Fridays, Saturdays, Sundays","To experience a specific attraction or ride, Because of a special promotion or discount, To spend time with family/friends","Social media ads, TV commercials","Discounts, special offers, or bundles",6,4,3,4,5,6,6,5,6,4,4,6,3,5 - Very concerned,5 - Very concerned,5 - Very concerned,5 - Very concerned,5 - Very concerned,5 - Very concerned,5 - Very concerned,5 - Very concerned,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time",I decide based on which rides are closest to me at the moment.,"Transportation (e.g. Parking, taxi fares etc.)",,,,,,,
22/02/2025 12:23:46,Yes,When on vacation,19-25 years old,Male,No income,Singaporean/PR,Friends,Medium-intensity rides,"Morning (10am-12pm), Afternoon (12pm-5pm)","Fridays, School Holidays","To spend time with family/friends, As part of a larger travel plan (e.g., trip to the area)",Social media ads,"Discounts, special offers, or bundles, New attractions or event announcements",6,6,6,3,6,4,6,6,5,6,6,5,5,2,1 - Not a concern at all,2,3,2,3,3,2,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions, Boring","A mix of both of the above —some planned rides, but I also go with what’s nearby.","Transportation (e.g. Parking, taxi fares etc.)",6th,,5th,4th,3rd,2nd,1st
22/02/2025 18:44:37,Yes,When on vacation,55 and above,Others,"$20,000 and above",russian,Family,I do not go on any rides,Evening (5pm-7pm),"For special events (eg. Halloween, Christmas etc.), Evenings/Night visits (After 6pm)",Because of a special promotion or discount,Online banner ads,"User-generated content (e.g., visitor testimonials, influencer partnerships)",3,4,5,5,4,2,3,1,1,1,2,3,4,1 - Not a concern at all,2,1 - Not a concern at all,2,1 - Not a concern at all,2,3,3,Long wait time,I stick to the few rides/attractions that I enjoy the most.,"Transportation (e.g. Parking, taxi fares etc.)",1st,1st,2nd,3rd,3rd,2nd,3rd
22/02/2025 18:47:04,Yes,< Once every 3 years,15-18 years old,Female,No income,Singaporean/PR,Family,Medium-intensity rides,"Afternoon (12pm-5pm), Evening (5pm-7pm)",School Holidays,To spend time with family/friends,Social media ads,New attractions or event announcements,2,3,2,2,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions",I decide based on which rides are closest to me at the moment.,F&B,,,,,,,
22/02/2025 18:58:00,Yes,Once every year,15-18 years old,Female,No income,Singaporean/PR,"Friends, Family",Medium-intensity rides,Afternoon (12pm-5pm),"For special events (eg. Halloween, Christmas etc.)","To attend a special event or seasonal celebration (e.g., Halloween, Christmas, Exhibitions in collaboration with other franchises), For a relaxing getaway or vacation, As part of a larger travel plan (e.g., trip to the area)",Online banner ads,"Discounts, special offers, or bundles",6,3,2,5,5,4,4,6,6,6,5,5,6,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,1 - Not a concern at all,4,1 - Not a concern at all,5 - Very concerned,1 - Not a concern at all,"Crowd, Costs (F&B, admission tickets, etc.), Long wait time, Unpredictable weather conditions",I decide based on which rides are closest to me at the moment.,"Transportation (e.g. Parking, taxi fares etc.)",4th,6th,2nd,3rd,1st,2nd,5th
